TraitId,Name,Identifier,JapaneseName,Description,HPBonus,MPBonus,AttackBonus,DefenceBonus,AgilityBonus,WisdomBonus,Notes
182,Ultra Zap Ward,ultra-zap-ward,電撃ガード大,Greatly increases resistance to electrical attacks.,,,,,,,Increases resistance by 50%.
96,Unhealthy Advantage,unhealthy-advantage,背水の陣,Inflicts increasing amounts of damage as remaining HP gets lower.,,,,,,,
199,Visionary,visionary,,Slightly increases resistance to bedazzlement.,,,,,,,Increases resistance by 10%.
169,Wisdom +12,wisdom-12,,Raises wisdom by 12.,,,,,,12,
170,Wisdom +16,wisdom-16,かしこさ+16,Raises wisdom by 16.,,,,,,16,
171,Wisdom +24,wisdom-24,かしこさ+24,Raises wisdom by 24.,,,,,,24,
172,Wisdom +32,wisdom-32,かしこさ+32,Raises wisdom by 32.,,,,,,32,
167,Wisdom +4,wisdom-4,かしこさ+4,Raises wisdom by 4.,,,,,,4,
173,Wisdom +40,wisdom-40,かしこさ+40,Raises wisdom by 40.,,,,,,40,
174,Wisdom +48,wisdom-48,かしこさ+48,Raises wisdom by 48.,,,,,,48,
223,Wisdom +60,wisdom-60,かしこさ+60,Raises wisdom by 60.,,,,,,60,
175,Wisdom +64,wisdom-64,,Raises wisdom by 64.,,,,,,64,
224,Wisdom +72,wisdom-72,かしこさ+72,Raises wisdom by 72.,,,,,,72,
168,Wisdom +8,wisdom-8,かしこさ+8,Raises wisdom by 8.,,,,,,8,
225,Wisdom +96,wisdom-96,かしこさ+96,Raises wisdom by 96.,,,,,,96,
205,Wizardly Waft,wizardly-waft,魔力の風,Sometimes restores 1 or more MP to all allies during battle. A higher level increases the restored amount.,,,,,,,
20,Wizardly Wind,wizardly-wind,魔力の強風,Sometimes restores 5 or more MP to all allies during battle. Higher wisdom makes the healing effect more powerfull.,,,,,,,
260,Woosh Ward,woosh-ward,,Slightly increases resistance to wind-elemental attacks.,,,,,,,Increases resistance by 10%.
24,Wooshmeister,wooshmeister,風のコツ,Increases the potency of wind-elemental attacks and decreases their MP consumption.,,,,,,,Increases damage by 15%.
249,Zam Ward,zam-ward,,Slightly increases resistance to dark-elemental attacks.,,,,,,,Increases resistance by 10%.
30,Zammeister,zammeister,闇のコツ,Increases the potency of dark-elemental attacks and decreases their MP consumption.,,,,,,,Increases damage by 15%.
252,Zap Ward,zap-ward,,Slightly increases resistance to electrical attacks.,,,,,,,Increases resistance by 10%.
28,Zapmeister,zapmeister,電撃のコツ,Increases the potency of electrical attacks and decreases their MP consumption.,,,,,,,Increases damage by 15%.
53,Zombiesbane,zombiesbane,ゾンビキラー,Increases damage inflicted on monsters from the undead family and slightly lowers all resistances.,,,,,,,Increases damage by 100%. Lowers all resistances by 5%.
